id	c1	c2	c1_prob	c2_prob	group
disc1	2	1	1	0	2
disc2	2	1	1	0	1
disc3	2	1	1	0	2
disc4	1	1	0	0	2
disc5	2	1	1	0	1
disc6	2	1	1	0	2
disc7	2	1	1	0	1
disc8	2	1	1	0	2
disc9	1	1	0.4	0	2
disc10	1	1	0.2	0.4	2
disc11	1	2	0	0.6	2
disc12	1	2	0	1	2
disc13	2	1	1	0	2
disc14	1	2	0	1	2
disc15	1	2	0	0.8	1
disc16	1	1	0	0	2
disc17	1	1	0	0	1
disc18	1	2	0	1	2
disc19	1	1	0	0.4	2
disc20	1	2	0	1	2
disc21	1	1	0	0	2
disc22	1	1	0.4	0	2
disc23	2	1	0.8	0	2
disc24	2	1	0.8	0.2	1
disc25	1	1	0	0.4	2
disc26	1	2	0	1	1
disc27	1	1	0	0.4	2
disc28	2	1	1	0	1
disc29	1	2	0	1	1
disc30	1	1	0	0	2
disc31	1	2	0	0.8	2
disc32	1	2	0	1	1
disc33	1	1	0.2	0.2	2
disc34	2	1	0.6	0	2
disc35	2	1	1	0	2
disc36	2	1	1	0	2
disc37	2	1	1	0	2
disc38	2	1	1	0	2
disc39	2	1	1	0	2
disc40	2	1	0.6	0	2
disc41	1	2	0	0.8	2
disc42	2	1	1	0	2
disc43	2	1	1	0.2	2
disc44	1	2	0	1	2
disc45	1	1	0	0	2
disc46	2	1	1	0	1
disc47	1	1	0	0	2
disc48	1	1	0	0	1
disc49	2	1	1	0	2
disc50	1	1	0	0	2
disc51	2	1	0.8	0	1
disc52	2	1	1	0	2
disc53	1	1	0	0.4	2
disc54	1	2	0	1	2
disc55	1	1	0.2	0.2	2
disc56	1	2	0	1	1
disc57	1	2	0	1	2
disc58	2	1	0.8	0	2
disc59	2	1	1	0	1
disc60	1	2	0	0.8	2
disc61	2	1	1	0	2
disc62	1	1	0	0	2
disc63	1	2	0	0.8	2
disc64	1	2	0	1	2
disc65	1	2	0	1	2
disc66	1	1	0	0	2
disc67	1	2	0.4	0.6	2
disc68	2	1	0.8	0	1
disc69	2	1	1	0	1
disc70	1	2	0	0.6	2
disc71	1	2	0	0.8	1
disc72	1	2	0	1	1
disc73	1	2	0	1	2
disc74	2	1	1	0	2
disc75	1	2	0	1	1
disc76	1	2	0	1	1
disc77	2	1	1	0	2
disc78	1	2	0	1	2
disc79	1	1	0.2	0	1
disc80	1	1	0	0	1
disc81	1	1	0	0.2	1
disc82	2	1	1	0	2
disc83	2	1	1	0	2
disc84	2	1	1	0	2
disc85	2	1	1	0	2
disc86	2	1	1	0	2
disc87	2	1	1	0	2
disc88	2	1	0.8	0	1
disc89	1	2	0	0.8	1
disc90	1	2	0	0.8	1
disc91	1	2	0	1	2
disc92	1	2	0	1	2
disc93	1	1	0	0	1
disc94	2	1	1	0	2
disc95	1	2	0	0.8	2
disc96	2	1	1	0	2
disc97	1	1	0	0.2	2
disc98	2	1	1	0	2
disc99	1	2	0	1	2
disc100	2	1	1	0	2
disc101	1	2	0	1	2
disc102	2	1	1	0.4	2
disc103	1	2	0	1	1
disc104	1	2	0	1	1
disc105	2	1	1	0	2
disc106	1	2	0	1	2
disc107	1	2	0	0.6	2
disc108	2	1	1	0	1
disc109	2	1	1	0	2
disc110	2	1	1	0	2
disc111	1	2	0	0.8	2
disc112	1	2	0	1	2
disc113	1	2	0	1	1
disc114	1	2	0	1	1
disc115	1	2	0	0.8	1
disc116	1	1	0	0.2	2
disc117	2	1	1	0	2
disc118	1	2	0	1	1
disc119	1	2	0	1	2
disc120	2	1	1	0.4	2
disc121	1	2	0	0.8	2
disc122	1	1	0	0.2	2
disc123	1	1	0	0	1
disc124	1	2	0	0.6	2
disc125	1	1	0	0	2
disc126	1	1	0	0.2	2
disc127	1	2	0	0.8	2
disc128	1	2	0	0.8	2
disc129	2	1	1	0	2
disc130	2	1	1	0	2
disc131	1	1	0	0.2	2
disc132	1	2	0	1	2
disc133	1	2	0.4	0.6	2
disc134	2	1	1	0	2
disc135	2	1	1	0	2
disc136	2	1	1	0	2
disc137	2	1	1	0	2
disc138	2	1	1	0	1
disc139	2	1	1	0	2
disc140	1	2	0	1	2
disc141	2	1	1	0	1
disc142	1	2	0	1	2
disc143	2	1	1	0	2
disc144	1	2	0	1	1
disc145	2	1	1	0	1
disc146	2	1	1	0.4	2
disc147	1	1	0	0	1
disc148	1	2	0	1	1
disc149	1	1	0	0.4	2
disc150	2	2	1	1	2
disc151	2	1	0.6	0.4	2
disc152	2	1	1	0	1
disc153	1	2	0	1	1
disc154	1	2	0	1	1
disc155	1	1	0	0.2	1
disc156	1	1	0	0.4	2
disc157	1	1	0	0.2	2
disc158	2	1	1	0	2
disc159	2	2	1	0.6	2
disc160	2	1	1	0	2
disc161	1	1	0	0	1
disc162	1	1	0	0	2
disc163	2	1	0.6	0	2
disc164	2	1	1	0	2
disc165	1	2	0	1	2
disc166	1	1	0	0.4	2
disc167	2	1	1	0	2
disc168	2	1	1	0	2
disc169	1	1	0	0	2
disc170	2	2	1	1	2
disc171	1	1	0	0	2
disc172	1	1	0.2	0	2
disc173	2	1	1	0	2
disc174	1	2	0	1	2
disc175	1	2	0	1	2
disc176	2	1	1	0	2
disc177	2	2	0.8	0.6	2
disc178	1	2	0	1	2
disc179	2	1	1	0	2
disc180	1	2	0	0.6	1
disc181	2	1	1	0.4	2
disc182	1	2	0	0.8	2
disc183	2	1	1	0	2
disc184	1	2	0	1	2
disc185	2	1	1	0	2
disc186	2	1	1	0	1
disc187	1	2	0.2	1	1
disc188	1	2	0	1	1
disc189	2	2	0.8	0.8	2
disc190	2	2	0.6	0.8	2
